BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1487625;Langsdorf (Oberhess)                              ;50.494897749197 8.857064978706;50.494897749197;8.857064978706
SNode-1487626;Hungen                                            ;50.478039863165 8.892801904044;50.478039863165;8.892801904044
SNode-1487627;Trais-Horloff                                     ;50.450340455643 8.911123345524;50.450340455643;8.911123345524
SNode-1487628;Ober Widdersheim                                  ;50.429576115337 8.933833424177;50.429576115337;8.933833424177
SNode-1487629;Borsdorf (Hess)                                   ;50.429407235958 8.975167378520;50.429407235958;8.975167378520
SNode-1487630;Nidda                                             ;50.411410503001 8.999455050506;50.411410503001;8.999455050506
SNode-1487631;Ranstadt                                          ;50.357089621716 8.982938176310;50.357089621716;8.982938176310
SNode-1487632;Effolderbach                                      ;50.338180003351 9.007556712372;50.338180003351;9.007556712372
SNode-1487633;Glauburg-Stockheim                                ;50.327067528748 9.010086904224;50.327067528748;9.010086904224
SNode-1487634;Bleichenbach (Oberhess)                           ;50.320133886135 9.051850611053;50.320133886135;9.051850611053
SNode-1487635;Büches-Düdelsheim                                 ;50.297518801255 9.066511998836;50.297518801255;9.066511998836
SNode-1487636;Büdingen (Oberhess)                               ;50.288935924788 9.102717258502;50.288935924788;9.102717258502
